Date,VZ,AT,TWX,HD,WMT,PG,XOM,CVX,C,BAC,PFE,JNJ,GE,UPS,DD,DOW,WY,SPG,MSFT,IBM,EXC,SO,NegLogReturn,VZ_R,AT_R,TWX_R,HD_R,WMT_R,PG_R,XOM_R,CVX_R,C_R,BAC_R,PFE_R,JNJ_R,GE_R,UPS_R,DD_R,DOW_R,WY_R,SPG_R,MSFT_R,IBM_R,EXC_R,SO_R
2021/12/31,51.959999,18.580059,,415.01001,144.690002,163.580002,61.189999,117.349998,60.389999,44.490002,59.049999,171.070007,94.470001,214.339996,,,41.18,159.770004,336.320007,133.660004,41.198288,68.580002,-0.000667302,0.002417161,0.003166203,,-0.005338273,-0.004586504,-0.002155835,-0.002848296,0.000295974,0.000287572,0.00039026,-0.004807033,0.003136604,0.001056045,-0.000892446,,,-0.002220368,0.000733278,0.003856764,0.000811553,-0.003093758,-0.001395433
2021/12/30,52.25,18.716011,,409.940002,143.169998,162.770004,60.790001,117.43,60.43,44.529999,58.400002,172.309998,94.699997,213.899994,,,40.970001,160.039993,339.320007,133.910004,40.905849,68.360001,-0.0005373,0.000913351,-0.002460594,,0.000952417,-0.001397591,0.003772334,0.002564325,0.001918873,0.00078983,0.000974211,-0.006141186,-0.001919747,0.000412563,0.001418957,,,-0.00308503,-0.003487447,0.003353156,-0.001819983,-0.0053335,-0.00184631
2021/12/29,52.360001,18.610271,,410.839996,142.710007,164.190002,61.150002,117.949997,60.540001,44.630001,57.580002,171.550003,94.790001,214.600006,,,40.68,158.759995,341.950012,133.350006,40.406563,68.07,-0.001215861,0.002975764,0.003161082,,-0.004911413,0.000212947,-0.003585625,0.003818288,0.002240249,0.000573501,0.000680636,0.003231175,-0.003048577,0.002330386,0.000161843,,,-0.008843639,-0.00271664,-0.000889963,-0.002351254,-0.008047036,-0.002174656
2021/12/28,52.720001,18.746223,,406.220001,142.779999,162.839996,61.689999,118.559998,60.619999,44.700001,58.009998,170.350006,95.300003,214.679993,,,39.860001,157.770004,341.25,132.630005,39.664764,67.730003,-0.001097301,-0.000329644,-0.000700487,,-0.002283204,-0.006188132,-0.002326498,0.001405712,0.000841703,0.000214895,-0.000583357,0.008818864,-0.001737098,-0.003109957,0.00086903,,,-0.002184595,0.001812966,0.001524526,-0.003319916,-0.006293089,-0.004965656
2021/12/27,52.68,18.716011,,404.089996,140.759995,161.970001,61.889999,118.790001,60.650002,44.639999,59.200001,169.669998,94.620003,215.110001,,,39.66,158.429993,342.450012,131.619995,39.094151,66.959999,-0.005065022,0,0.001574533,,-0.007611015,-0.003936153,-0.005043237,-0.006148272,-0.008789582,-0.0031622,-0.002145642,-0.003609641,-0.003649982,-0.002855104,-0.005935685,,,-0.011315603,-0.00821872,-0.009954447,-0.003278926,-0.00254299,-0.002732635
2021/12/23,52.68,18.783989,,397.070007,139.490005,160.100006,61.02,116.410004,60.209999,44.419998,58.709999,168.25,94,212.190002,,,38.639999,155.460007,334.690002,130.630005,38.865906,66.540001,-0.001323609,0.000741328,-0.001574533,,-0.001566874,0.000964091,-0.002121031,-0.000213556,-0.001045889,-0.004422375,-0.001370932,0.006169686,-0.000826803,-0.00431814,-0.007743848,,,0.002130306,0.000195486,-0.001937731,-0.002935577,-0.000957464,0.000717364
2021/12/22,52.77,18.716011,,395.640015,139.800003,159.320007,60.990002,116.129997,59.599998,44.279999,59.549999,167.929993,93.07,208.440002,,,38.830002,155.529999,333.200012,129.75,38.780315,66.650002,-0.002755484,8.23E-05,-0.00546731,,-0.005712536,-0.000559563,-0.004273433,-0.003503273,-0.002475245,-0.001606045,-0.000883611,-0.004397942,-0.001866005,-4.67E-05,-0.002800957,,,-0.004158144,-0.00297002,-0.00777226,-0.002618663,-0.003448394,-0.001697505
2021/12/21,52.779999,18.481873,,390.470001,139.619995,157.759995,60.5,115.470001,59.380001,44.189999,58.950001,167.210007,93.059998,207.100006,,,38.459999,154.470001,327.290009,128.970001,38.47361,66.389999,-0.004584992,0.002543348,-0.004998092,,-0.001191733,-0.001308392,0.000275217,-0.009727209,-0.006899722,-0.008120665,-0.010242556,0.014988387,0.001400264,-0.014617036,-0.009905251,,,-0.003742452,-0.023688876,-0.009904927,-0.006479859,-0.004369707,0.004749305
2021/12/20,53.09,18.270393,,389.399994,139.199997,157.860001,59.16,113.650002,58.279999,43.16,61.02,167.75,89.980003,202.429993,,,38.130001,146.270004,319.910004,127.059998,38.088444,67.120003,0.003235469,0.000653919,-0.007424002,,-0.001586589,-0.001406234,-0.001101835,0.006340171,-0.000191124,0.009289302,0.007185193,-0.011101243,0.001240906,0.007037692,0.008834427,,,0.016866818,0.013044414,0.005249007,0.001160591,0.00097487,-0.001815552
2021/12/17,53.169998,17.960726,,387.980011,138.75,157.460007,60.029999,113.599998,59.540001,43.880001,59.48,168.229996,91.449997,206.589996,,,39.639999,150.729996,323.799988,127.400002,38.174038,66.839996,0.006262427,-0.00344418,-0.001280343,,0.012740043,0.014134396,0.009952234,0.00958778,0.011469184,0.011019082,0.010945885,0.012735133,0.012167759,0.005098862,0.002891407,,,-0.000109552,0.002671375,0.001472875,-0.005040231,0.006763342,0.004588957
2021/12/16,52.75,17.907854,,399.529999,143.339996,161.110001,61.369999,116.639999,61.07,45,61.25,173.009995,92.529999,207.970001,,,39.630001,151.660004,324.899994,125.93,38.773182,67.550003,-0.002623212,-0.018501313,-0.029165837,,0.008908475,0.007300778,-0.006107939,-0.000708236,-0.004039982,-0.005942942,-0.010352471,-0.017728774,-0.004719668,-0.002117237,-0.004618628,,,-0.001756946,0.001086778,0.012841118,-0.009835869,0.002628475,-0.005174103
2021/12/15,50.549999,16.744713,,407.809998,145.770004,158.860001,61.27,115.559998,60.240002,43.939999,58.799999,171.139999,92.080002,205.770004,,,39.470001,152.039993,334.649994,123.110001,39.00856,66.75,-0.003050461,0.000858316,0.002344338,,-0.00601579,-0.002479903,-0.001670842,0.001909619,0.002473349,0.002874208,0.001873895,-0.024771435,-0.002162397,0.000141467,-0.004305754,,,-0.006429205,-0.003182289,-0.008267033,0.002286973,-0.006722215,-0.005104779
2021/12/14,50.650002,16.835346,,402.200012,144.940002,158.25,61.540001,116.220001,60.639999,44.130001,55.540001,170.289993,92.110001,203.740005,,,38.889999,150.929993,328.339996,123.760002,38.409416,65.970001,0.001045519,-0.003184206,0.002912834,,0.003270217,-0.004124541,-0.001594657,0.000634676,-0.0012724,-0.003307002,-0.005446691,-0.002666798,-0.00471812,0.004782802,0.005443962,,,0.012764578,0.00048893,0.014388042,-0.004160684,0.002332517,0.001380272
